Load,Avg. NS,NS Variance,NS SD,Avg. Ticks,Ticks Variance,Ticks SD
0,52763,335012,578,179050,5302359,2302
5,53439,1600123,1264,181414,23542022,4852
10,52579,423316,650,178452,6763715,2600
15,52412,147141,383,177829,2269899,1506
20,52580,286788,535,178483,5052468,2247
25,55490,84740327,9205,188300,999672207,31617
30,55353,83382863,9131,187802,972995785,31192
35,53860,26627239,5160,182728,313038531,17692
40,55672,91618874,9571,188948,1081668985,32888
45,55520,86818471,9317,188416,1019923003,31936
50,53911,27545131,5248,182949,328297421,18118
55,56087,85628001,9253,190301,1002989651,31670
60,52468,208162,456,178048,3464692,1861
65,56207,89148607,9441,190732,1047207646,32360
70,55014,70839576,8416,186700,835285999,28901
75,55214,85521798,9247,187332,996036797,31560
80,54438,17486767,4181,184932,211502805,14543
85,55745,66873888,8177,189281,778978946,27910
90,263845,400239405052,632644,895230,4606611610181,2146301
95,1177088,8773800973992,2962060,3993365,100959289001600,10047849
100,9995574,79785371,8932,33907325,890013432,29833
